"Type","Name","Str","Dex","Int","Hits","Stam","Mana","Physical Resist","Fire Resist","Cold Resist","Poison Resist","Energy Resist","Physical Damage","Fire Damage","Cold Damage","Poison Damage","Energy Damage","Taming Difficulty","Barding Difficulty","TMap Level","Wrestling Skill"
"PlayerFarmer","Larry","1","1","1","1","1","1","0","5","9","5","5","100","0","0","0","0","0","2.16","-1","0"
"ShipController","Essien","1","1","1","1","1","1","0","5","9","5","5","100","0","0","0","0","0","7.86","-1","0"
"PetParrot","a pet parrot","4","29","2","7","55","2","2","0","0","0","0","100","0","0","0","0","0","9.92","-1","4"
"ShimmeringFerret","a ferret","41","55","75","91","55","75","48","11","39","23","23","100","0","0","0","0","-21.3","58.76","-1","100"
"TravestyDog","a dog","32","35","32","52","35","32","13","0","0","0","0","100","0","0","0","0","-21.3","23.52","-1","22.1"
"GrizzledMare","Grizzled Mare","100","80","100","100","80","100","44","31","35","40","33","20","20","20","20","20","30","53.5","-1","51.5"
"BaseTalismanSummon","","1","100","100","100","100","100","0","0","0","0","0","100","0","0","0","0","0","38.3","-1","0"
"SummonedAntLion","an ant lion","310","92","50","464","92","50","58","29","39","42","31","70","0","0","30","0","0","83.8","-1","90"
"SummonedArcticOgreLord","an arctic ogre lord","915","73","63","1460","73","63","51","0","60","100","42","30","0","70","0","0","0","128.9","-1","100"
"SummonedBakeKitsune","a bake kitsune","182","132","406","504","132","406","53","83","57","50","55","70","0","0","0","30","0","98.8","-1","51.9"
"SummonedBogling","a bogling","116","98","41","176","98","41","20","13","21","18","15","100","0","0","0","0","0","65.66","-1","69.4"
"SummonedBullFrog","a bull frog","69","12","11","99","12","11","9","0","0","0","0","100","0","0","0","0","0","37.64","-1","53.2"
"SummonedChicken","a chicken","5","15","5","3","15","5","4","0","0","0","0","100","0","0","0","0","0","10.88","-1","5"
"SummonedCow","a cow","30","15","5","18","15","5","15","0","0","0","0","100","0","0","0","0","0","7.78","-1","5.5"
"SummonedDoppleganger","a doppleganger","86","61","100","197","61","100","52","17","48","55","30","100","0","0","0","0","0","72.6","-1","89.3"
"SummonedFrostSpider","a frost spider","81","144","46","131","144","46","30","6","45","29","16","20","0","80","0","0","0","55.56","-1","64.8"
"SummonedGreatHart","a great hart","66","74","50","101","74","50","22","0","6","0","0","100","0","0","0","0","0","42.26","-1","36.7"
"SummonedLavaSerpent","a lava serpent","410","70","71","647","70","71","43","71","0","35","19","20","80","0","0","0","0","88.7","-1","74.1"
"SummonedOrcBrute","an orc brute","894","69","48","1402","69","48","54","46","30","34","29","100","0","0","0","0","0","129.1","-1","99.1"
"SummonedPanther","a panther","73","99","49","113","99","49","24","8","13","8","0","100","0","0","0","0","0","49.38","-1","62.8"
"SummonedSheep","a sheep","19","25","5","12","25","5","5","0","0","0","0","100","0","0","0","0","0","9.42","-1","5"
"SummonedSkeletalKnight","a skeletal knight","204","92","40","324","92","40","45","23","56","25","34","40","0","60","0","0","0","77.4","-1","90.5"
"SummonedVorpalBunny","a vorpal bunny","15","2000","1000","2000","2500","1000","0","0","0","0","0","100","0","0","0","0","0","160","-1","5"
"SummonedWailingBanshee","a wailing banshee","139","76","101","227","76","101","52","29","70","32","40","20","0","60","20","0","0","73.2","-1","56.8"
"AlbinoSquirrel","a squirrel","45","35","5","90","35","5","31","11","30","22","21","100","0","0","0","0","-21.3","25.8","-1","4"
"TyballsShadow","Tyball's Shadow","423","225","322","3238","225","322","70","70","70","70","70","100","0","0","20","20","0","160","-1","100"
"Harrower","the harrower","963","132","1081","30000","132","5000","58","68","71","63","72","50","0","0","0","50","0","160","-1","95.7"
"HarrowerTentacles","tentacles of the harrower","967","130","1078","1557","130","1078","64","37","40","40","39","20","20","20","20","20","0","160","-1","99.8"
"AbyssalInfernal","Abyssal Infernal","1244","112","686","30000","468","686","59","70","54","40","72","60","20","0","0","20","0","160","-1","110.8"
"Barracoon","Barracoon","288","137","618","12000","370","1305","69","76","78","78","75","100","0","0","0","0","0","160","-1","118.7"
"ChiefParoxysmus","a chief paroxysmus","1399","81","80","50000","81","80","85","50","55","62","58","80","0","0","20","0","0","160","-1","120"
"CrimsonDragon","a crimson dragon","2069","221","1110","25000","221","1110","82","100","51","82","81","50","50","0","0","0","0","160","5","123.2"
"DreadHorn","a Dread Horn","981","664","1225","50000","1192","2442","42","65","53","72","63","40","0","0","60","0","0","160","5","90"
"LadyMelisande","a lady melisande","708","319","1609","100000","319","1609","42","43","59","74","74","50","0","0","0","50","0","160","5","103.6"
"LordOaks","Lord Oaks","569","135","630","12000","455","630","86","60","67","80","82","75","25","0","0","0","0","160","-1","100"
"Medusa","Medusa","1362","129","633","60000","129","633","58","64","56","88","75","60","20","0","0","20","0","160","-1","123.5"
