MapName,ChunkX,ChunkY,ZoneID,DominantTown
Trammel,0,0,1369003,Wilderness
Trammel,0,128,1369003,Wilderness
Trammel,0,256,1369003,Wilderness
Trammel,0,384,1369003,Wilderness
Trammel,0,512,1369003,Wilderness
Trammel,0,640,1369003,Wilderness
Trammel,0,768,1369003,Wilderness
Trammel,0,896,1369003,Wilderness
Trammel,0,1024,1369003,Wilderness
Trammel,0,1152,1369003,Wilderness
Trammel,0,1280,1369003,Wilderness
Trammel,0,1408,1369003,Wilderness
Trammel,0,1536,1369003,Wilderness
Trammel,0,1664,1369003,Wilderness
Trammel,0,1792,1369003,Wilderness
Trammel,0,1920,1369003,Wilderness
Trammel,0,2048,1369003,Wilderness
Trammel,0,2176,1369003,Wilderness
Trammel,0,2304,1369003,Wilderness
Trammel,0,2432,1369003,Wilderness
Trammel,0,2560,1369003,Wilderness
Trammel,0,2688,1369003,Wilderness
Trammel,0,2816,1369003,Wilderness
Trammel,0,2944,1369003,Wilderness
Trammel,0,3072,1369003,Wilderness
Trammel,0,3200,1369003,Wilderness
Trammel,0,3328,1369003,Wilderness
Trammel,0,3456,1369003,Wilderness
Trammel,0,3584,1369003,Wilderness
Trammel,0,3712,1369003,Wilderness
Trammel,0,3840,1369003,Wilderness
Trammel,0,3968,1369003,Wilderness
Trammel,128,0,1369003,Wilderness
Trammel,128,128,1369003,Wilderness
Trammel,128,256,1369003,Wilderness
Trammel,128,384,1369003,Wilderness
Trammel,128,512,1369003,Wilderness
Trammel,128,640,1216002,Yew
Trammel,128,768,1216002,Yew
Trammel,128,896,1369003,Wilderness
Trammel,128,1024,1369003,Wilderness
Trammel,128,1152,1369003,Wilderness
Trammel,128,1280,1369003,Wilderness
Trammel,128,1408,1369003,Wilderness
Trammel,128,1536,1369003,Wilderness
Trammel,128,1664,1369003,Wilderness
Trammel,128,1792,1369003,Wilderness
Trammel,128,1920,1369003,Wilderness
Trammel,128,2048,1369003,Wilderness
Trammel,128,2176,1369003,Wilderness
Trammel,128,2304,1369003,Wilderness
Trammel,128,2432,1369003,Wilderness
Trammel,128,2560,1369003,Wilderness
Trammel,128,2688,1369003,Wilderness
Trammel,128,2816,1369003,Wilderness
Trammel,128,2944,1369003,Wilderness
Trammel,128,3072,1369003,Wilderness
Trammel,128,3200,1369003,Wilderness
Trammel,128,3328,1369003,Wilderness
Trammel,128,3456,1369003,Wilderness
Trammel,128,3584,1369003,Wilderness
Trammel,128,3712,1369003,Wilderness
Trammel,128,3840,1369003,Wilderness
Trammel,128,3968,1369003,Wilderness
Trammel,256,0,1369003,Wilderness
Trammel,256,128,1369003,Wilderness
Trammel,256,256,1369003,Wilderness
Trammel,256,384,1369003,Wilderness
Trammel,256,512,1369003,Wilderness
Trammel,256,640,1216002,Yew
Trammel,256,768,1216002,Yew
Trammel,256,896,1216002,Yew
Trammel,256,1024,1216002,Yew
Trammel,256,1152,1216002,Yew
Trammel,256,1280,1216002,Yew
Trammel,256,1408,1216002,Yew
Trammel,256,1536,1216002,Yew
Trammel,256,1664,1369003,Wilderness
Trammel,256,1792,1369003,Wilderness
Trammel,256,1920,1369003,Wilderness
Trammel,256,2048,1369003,Wilderness
Trammel,256,2176,1369003,Wilderness
Trammel,256,2304,1369003,Wilderness
Trammel,256,2432,1369003,Wilderness
Trammel,256,2560,1369003,Wilderness
Trammel,256,2688,1369003,Wilderness
Trammel,256,2816,1369003,Wilderness
Trammel,256,2944,1369003,Wilderness
Trammel,256,3072,1369003,Wilderness
Trammel,256,3200,1369003,Wilderness
Trammel,256,3328,1369003,Wilderness
Trammel,256,3456,1369003,Wilderness
Trammel,256,3584,1369003,Wilderness
Trammel,256,3712,1369003,Wilderness
Trammel,256,3840,1369003,Wilderness
Trammel,256,3968,1369003,Wilderness
Trammel,384,0,1369003,Wilderness
Trammel,384,128,1369003,Wilderness
Trammel,384,256,1369003,Wilderness
Trammel,384,384,1369003,Wilderness
Trammel,384,512,1369003,Wilderness
Trammel,384,640,1216002,Yew
Trammel,384,768,1216002,Yew
Trammel,384,896,1216002,Yew
Trammel,384,1024,1216002,Yew
Trammel,384,1152,1216002,Yew
Trammel,384,1280,1216002,Yew
Trammel,384,1408,1216002,Yew
Trammel,384,1536,1216002,Yew
Trammel,384,1664,1369003,Wilderness
Trammel,384,1792,1369003,Wilderness
Trammel,384,1920,1369003,Wilderness
Trammel,384,2048,1369003,Wilderness
Trammel,384,2176,1369003,Wilderness
Trammel,384,2304,1369003,Wilderness
Trammel,384,2432,1369003,Wilderness
Trammel,384,2560,1369003,Wilderness
Trammel,384,2688,1369003,Wilderness
Trammel,384,2816,1369003,Wilderness
Trammel,384,2944,1369003,Wilderness
Trammel,384,3072,1369003,Wilderness
Trammel,384,3200,1369003,Wilderness
Trammel,384,3328,1369003,Wilderness
Trammel,384,3456,1369003,Wilderness
Trammel,384,3584,1369003,Wilderness
Trammel,384,3712,1369003,Wilderness
Trammel,384,3840,1369003,Wilderness
Trammel,384,3968,1369003,Wilderness
Trammel,512,0,1369003,Wilderness
Trammel,512,128,1369003,Wilderness
Trammel,512,256,1369003,Wilderness
Trammel,512,384,1369003,Wilderness
Trammel,512,512,1369003,Wilderness
Trammel,512,640,1216002,Yew
Trammel,512,768,1216002,Yew
Trammel,512,896,1216002,Yew
Trammel,512,1024,1216002,Yew
Trammel,512,1152,1216002,Yew
Trammel,512,1280,1216002,Yew
Trammel,512,1408,1216002,Yew
Trammel,512,1536,1216002,Yew
Trammel,512,1664,1369003,Wilderness
Trammel,512,1792,1369003,Wilderness
Trammel,512,1920,1369003,Wilderness
Trammel,512,2048,1212002,Skara Brae
Trammel,512,2176,1212002,Skara Brae
Trammel,512,2304,1212002,Skara Brae
Trammel,512,2432,1369003,Wilderness
Trammel,512,2560,1369003,Wilderness
Trammel,512,2688,1369003,Wilderness
Trammel,512,2816,1369003,Wilderness
Trammel,512,2944,1369003,Wilderness
Trammel,512,3072,1369003,Wilderness
Trammel,512,3200,1369003,Wilderness
Trammel,512,3328,1369003,Wilderness
Trammel,512,3456,1369003,Wilderness
Trammel,512,3584,1369003,Wilderness
Trammel,512,3712,1369003,Wilderness
Trammel,512,3840,1369003,Wilderness
Trammel,512,3968,1369003,Wilderness
Trammel,640,0,1369003,Wilderness
Trammel,640,128,1369003,Wilderness
Trammel,640,256,1369003,Wilderness
Trammel,640,384,1369003,Wilderness
Trammel,640,512,1369003,Wilderness
Trammel,640,640,1216002,Yew
Trammel,640,768,1216002,Yew
Trammel,640,896,1216002,Yew
Trammel,640,1024,1216002,Yew
Trammel,640,1152,1216002,Yew
Trammel,640,1280,1216002,Yew
Trammel,640,1408,1216002,Yew
Trammel,640,1536,1216002,Yew
Trammel,640,1664,1369003,Wilderness
Trammel,640,1792,1369003,Wilderness
Trammel,640,1920,1369003,Wilderness
Trammel,640,2048,1212002,Skara Brae
Trammel,640,2176,1212002,Skara Brae
Trammel,640,2304,1212002,Skara Brae
Trammel,640,2432,1369003,Wilderness
Trammel,640,2560,1369003,Wilderness
Trammel,640,2688,1369003,Wilderness
Trammel,640,2816,1369003,Wilderness
Trammel,640,2944,1369003,Wilderness
Trammel,640,3072,1369003,Wilderness
Trammel,640,3200,1369003,Wilderness
Trammel,640,3328,1369003,Wilderness
Trammel,640,3456,1369003,Wilderness
Trammel,640,3584,1369003,Wilderness
Trammel,640,3712,1361003,South Britannian Sea
Trammel,640,3840,1361003,South Britannian Sea
Trammel,640,3968,1361003,South Britannian Sea
Trammel,768,0,1369003,Wilderness
Trammel,768,128,1369003,Wilderness
Trammel,768,256,1369003,Wilderness
Trammel,768,384,1369003,Wilderness
Trammel,768,512,1369003,Wilderness
Trammel,768,640,1216002,Yew
Trammel,768,768,1216002,Yew
Trammel,768,896,1216002,Yew
Trammel,768,1024,1216002,Yew
Trammel,768,1152,1216002,Yew
Trammel,768,1280,1216002,Yew
Trammel,768,1408,1216002,Yew
Trammel,768,1536,1216002,Yew
Trammel,768,1664,1369003,Wilderness
Trammel,768,1792,1369003,Wilderness
Trammel,768,1920,1369003,Wilderness
Trammel,768,2048,1212002,Skara Brae
Trammel,768,2176,1212002,Skara Brae
Trammel,768,2304,1212002,Skara Brae
Trammel,768,2432,1369003,Wilderness
Trammel,768,2560,1369003,Wilderness
Trammel,768,2688,1369003,Wilderness
Trammel,768,2816,1369003,Wilderness
Trammel,768,2944,1369003,Wilderness
Trammel,768,3072,1369003,Wilderness
Trammel,768,3200,1369003,Wilderness
Trammel,768,3328,1369003,Wilderness
Trammel,768,3456,1369003,Wilderness
Trammel,768,3584,1369003,Wilderness
Trammel,768,3712,1361003,South Britannian Sea
Trammel,768,3840,1361003,South Britannian Sea
Trammel,768,3968,1361003,South Britannian Sea
Trammel,896,0,1369003,Wilderness
Trammel,896,128,1369003,Wilderness
Trammel,896,256,1369003,Wilderness
Trammel,896,384,1369003,Wilderness
Trammel,896,512,1369003,Wilderness
Trammel,896,640,1369003,Wilderness
Trammel,896,768,1369003,Wilderness
Trammel,896,896,1369003,Wilderness
Trammel,896,1024,1369003,Wilderness
Trammel,896,1152,1369003,Wilderness
Trammel,896,1280,1369003,Wilderness
Trammel,896,1408,1369003,Wilderness
Trammel,896,1536,1369003,Wilderness
Trammel,896,1664,1369003,Wilderness
Trammel,896,1792,1369003,Wilderness
Trammel,896,1920,1369003,Wilderness
Trammel,896,2048,1212002,Skara Brae
Trammel,896,2176,1212002,Skara Brae
Trammel,896,2304,1212002,Skara Brae
Trammel,896,2432,1369003,Wilderness
Trammel,896,2560,1369003,Wilderness
Trammel,896,2688,1369003,Wilderness
Trammel,896,2816,1369003,Wilderness
Trammel,896,2944,1369003,Wilderness
Trammel,896,3072,1369003,Wilderness
Trammel,896,3200,1369003,Wilderness
Trammel,896,3328,1369003,Wilderness
Trammel,896,3456,1369003,Wilderness
Trammel,896,3584,1369003,Wilderness
Trammel,896,3712,1361003,South Britannian Sea
Trammel,896,3840,1361003,South Britannian Sea
Trammel,896,3968,1361003,South Britannian Sea
Trammel,1024,0,1369003,Wilderness
Trammel,1024,128,1369003,Wilderness
Trammel,1024,256,1369003,Wilderness
Trammel,1024,384,1369003,Wilderness
Trammel,1024,512,1369003,Wilderness
Trammel,1024,640,1369003,Wilderness
Trammel,1024,768,1369003,Wilderness
Trammel,1024,896,1369003,Wilderness
Trammel,1024,1024,1369003,Wilderness
Trammel,1024,1152,1369003,Wilderness
Trammel,1024,1280,1369003,Wilderness
Trammel,1024,1408,1369003,Wilderness
Trammel,1024,1536,1369003,Wilderness
Trammel,1024,1664,1369003,Wilderness
Trammel,1024,1792,1369003,Wilderness
