MapName,ChunkX,ChunkY,LotX,LotY,LotZ,Width,Height,ZoneID
Trammel,0,1408,116,1474,-1,9,17,1369003
Trammel,128,640,234,736,0,9,17,1216002
Trammel,128,640,233,739,0,9,17,1216002
Trammel,128,1280,205,1357,0,9,17,1369003
Trammel,128,1280,202,1366,0,9,17,1369003
Trammel,128,1280,214,1366,0,9,17,1369003
Trammel,128,1280,198,1369,0,9,17,1369003
Trammel,128,1280,211,1374,0,9,17,1369003
Trammel,128,1408,141,1457,-2,9,17,1369003
Trammel,128,1408,137,1458,0,9,17,1369003
Trammel,128,1408,134,1459,0,9,17,1369003
Trammel,128,1408,132,1460,-2,9,17,1369003
Trammel,128,1408,130,1461,-2,9,17,1369003
Trammel,128,1408,128,1462,-2,9,17,1369003
Trammel,128,1408,157,1462,0,9,17,1369003
Trammel,128,1408,156,1471,0,9,17,1369003
Trammel,128,1408,140,1477,0,9,17,1369003
Trammel,256,640,329,730,0,9,17,1216002
Trammel,256,768,349,797,0,9,17,1216002
Trammel,256,896,371,976,0,9,17,1216002
Trammel,256,896,297,1001,0,9,17,1216002
Trammel,256,1152,365,1172,0,9,17,1216002
Trammel,256,1152,374,1174,0,9,17,1216002
Trammel,256,1152,365,1189,0,9,17,1216002
Trammel,256,1152,374,1191,0,9,17,1216002
Trammel,256,1280,374,1306,0,9,17,1216002
Trammel,256,1408,368,1458,2,9,17,1216002
Trammel,256,1408,363,1459,3,9,17,1216002
Trammel,256,1408,362,1461,1,9,17,1216002
Trammel,256,1408,359,1462,1,9,17,1216002
Trammel,384,768,468,809,0,9,17,1216002
Trammel,384,768,493,853,0,9,17,1216002
Trammel,384,896,392,896,0,9,17,1216002
Trammel,384,896,493,901,0,9,17,1216002
Trammel,384,896,490,904,0,9,17,1216002
Trammel,384,896,394,961,0,9,17,1216002
Trammel,384,896,420,969,0,9,17,1216002
Trammel,384,896,448,969,0,9,17,1216002
Trammel,384,1024,485,1096,0,9,17,1216002
Trammel,384,1024,473,1109,0,9,17,1216002
Trammel,384,1152,386,1187,0,9,17,1216002
Trammel,384,1152,384,1189,0,9,17,1216002
Trammel,384,1152,410,1213,0,9,17,1216002
Trammel,384,1152,401,1225,0,9,17,1216002
Trammel,384,1280,384,1309,0,9,17,1216002
Trammel,512,768,516,770,-5,9,17,1216002
Trammel,512,768,534,793,0,9,17,1216002
Trammel,512,768,585,805,0,9,17,1216002
Trammel,512,768,538,841,0,9,17,1216002
Trammel,512,768,625,857,0,9,17,1216002
Trammel,512,768,544,861,0,9,17,1216002
Trammel,512,768,625,874,0,9,17,1216002
Trammel,512,896,560,902,0,9,17,1216002
Trammel,512,896,597,921,0,9,17,1216002
Trammel,512,896,594,925,0,9,17,1216002
Trammel,512,896,589,926,0,9,17,1216002
Trammel,512,896,541,937,0,9,17,1216002
Trammel,512,896,550,953,0,9,17,1216002
Trammel,512,896,545,954,0,9,17,1216002
Trammel,512,896,541,977,0,9,17,1216002
Trammel,512,896,561,977,0,9,17,1216002
Trammel,512,896,545,1001,0,9,17,1216002
Trammel,512,1024,545,1053,0,9,17,1216002
Trammel,512,1024,574,1088,0,9,17,1216002
Trammel,512,1024,568,1089,0,9,17,1216002
Trammel,512,1152,569,1219,0,9,17,1216002
Trammel,512,1152,555,1225,0,9,17,1216002
Trammel,512,1152,564,1225,0,9,17,1216002
Trammel,512,1152,578,1228,0,9,17,1216002
Trammel,512,1152,545,1231,0,9,17,1216002
Trammel,512,1152,573,1236,0,9,17,1216002
Trammel,512,1152,554,1241,0,9,17,1216002
Trammel,512,2048,593,2119,0,9,17,1212002
Trammel,512,2176,565,2225,0,9,17,1212002
Trammel,512,2176,625,2225,0,9,17,1212002
Trammel,512,2176,582,2241,0,9,17,1212002
Trammel,640,512,743,564,0,9,17,1369003
Trammel,640,512,742,565,0,9,17,1369003
Trammel,640,512,725,590,0,9,17,1369003
Trammel,640,512,724,591,0,9,17,1369003
Trammel,640,512,723,597,0,9,17,1369003
Trammel,640,512,721,601,0,9,17,1369003
Trammel,640,512,720,603,0,9,17,1369003
Trammel,640,512,719,604,0,9,17,1369003
Trammel,640,512,716,607,0,9,17,1369003
Trammel,640,512,715,618,0,9,17,1369003
Trammel,640,640,702,643,0,9,17,1216002
Trammel,640,640,717,707,0,9,17,1216002
Trammel,640,640,753,748,0,9,17,1216002
Trammel,640,768,658,781,0,9,17,1216002
Trammel,640,768,656,785,0,9,17,1216002
Trammel,640,768,668,789,0,9,17,1216002
Trammel,640,768,667,790,0,9,17,1216002
Trammel,640,768,678,850,0,9,17,1216002
Trammel,640,768,722,850,0,9,17,1216002
Trammel,640,896,687,899,0,9,17,1216002
Trammel,640,896,685,906,0,9,17,1216002
Trammel,640,896,682,910,0,9,17,1216002
Trammel,640,896,711,916,0,9,17,1216002
Trammel,640,896,710,917,0,9,17,1216002
Trammel,640,896,742,918,0,9,17,1216002
Trammel,640,896,665,928,0,9,17,1216002
Trammel,640,896,701,952,0,9,17,1216002
Trammel,640,896,690,992,0,9,17,1216002
Trammel,640,896,673,996,0,9,17,1216002
Trammel,640,896,688,996,0,9,17,1216002
Trammel,640,1024,729,1030,0,9,17,1216002
Trammel,640,1024,724,1032,0,9,17,1216002
Trammel,640,1024,709,1067,0,9,17,1216002
Trammel,640,1024,700,1120,0,9,17,1216002
Trammel,640,1152,721,1152,0,9,17,1216002
Trammel,640,1152,730,1152,0,9,17,1216002
Trammel,640,1152,739,1152,0,9,17,1216002
Trammel,640,1152,671,1168,0,9,17,1216002
Trammel,640,1280,648,1306,0,9,17,1216002
Trammel,640,1280,657,1310,0,9,17,1216002
Trammel,640,1280,645,1314,0,9,17,1216002
Trammel,640,1280,640,1315,0,9,17,1216002
Trammel,640,1280,654,1323,0,9,17,1216002
Trammel,640,1280,649,1331,0,9,17,1216002
Trammel,640,1280,640,1332,0,9,17,1216002
Trammel,640,1280,670,1339,0,9,17,1216002
Trammel,640,1280,661,1341,0,9,17,1216002
Trammel,640,1280,649,1348,0,9,17,1216002
Trammel,640,1280,641,1349,0,9,17,1216002
Trammel,640,1280,658,1349,0,9,17,1216002
Trammel,640,1280,683,1386,0,9,17,1216002
Trammel,640,1408,738,1502,0,9,17,1216002
Trammel,640,1792,749,1798,0,9,17,1369003
Trammel,640,1792,644,1820,0,9,17,1369003
