MapName,ChunkX,ChunkY,BaseRegionCode,ZoneType,FinalZoneID,LotsCount
Felucca,0,0,0,0,0,0
Felucca,0,1,0,0,0,0
Felucca,0,2,0,0,0,0
Felucca,0,3,0,0,0,0
Felucca,0,4,0,0,0,0
Felucca,0,5,0,0,0,0
Felucca,0,6,0,0,0,0
Felucca,0,7,0,0,0,0
Felucca,0,8,0,0,0,0
Felucca,0,9,0,0,0,0
Felucca,0,10,0,0,0,0
Felucca,0,11,0,0,0,1
Felucca,0,12,0,0,0,0
Felucca,0,13,0,0,0,0
Felucca,0,14,0,0,0,0
Felucca,0,15,0,0,0,0
Felucca,0,16,0,0,0,0
Felucca,0,17,0,0,0,0
Felucca,0,18,0,0,0,0
Felucca,0,19,0,0,0,0
Felucca,0,20,0,0,0,0
Felucca,0,21,0,0,0,0
Felucca,0,22,0,0,0,0
Felucca,0,23,0,0,0,0
Felucca,0,24,0,0,0,0
Felucca,0,25,0,0,0,0
Felucca,0,26,0,0,0,0
Felucca,0,27,0,0,0,0
Felucca,0,28,0,0,0,0
Felucca,0,29,0,0,0,0
Felucca,0,30,0,0,0,0
Felucca,0,31,0,0,0,0
Felucca,0,32,0,0,0,0
Felucca,1,0,0,0,0,0
Felucca,1,1,0,0,0,0
Felucca,1,2,0,0,0,0
Felucca,1,3,0,0,0,0
Felucca,1,4,0,0,0,0
Felucca,1,7,210800,2,2108002,2
Felucca,1,8,210800,1,2108001,0
Felucca,1,9,210800,1,2108001,0
Felucca,1,10,0,3,2108003,11
Felucca,1,11,0,0,0,15
Felucca,1,12,0,0,0,0
Felucca,1,13,0,0,0,0
Felucca,1,14,0,0,0,0
Felucca,1,15,0,0,0,0
Felucca,1,16,0,0,0,0
Felucca,1,17,0,0,0,0
Felucca,1,18,0,0,0,0
Felucca,1,19,0,0,0,0
Felucca,1,20,0,0,0,0
Felucca,1,21,0,0,0,0
Felucca,1,22,0,0,0,0
Felucca,1,23,0,0,0,0
Felucca,1,24,0,0,0,0
Felucca,1,25,0,0,0,0
Felucca,1,26,0,0,0,0
Felucca,1,27,0,0,0,0
Felucca,1,28,0,0,0,0
Felucca,1,29,0,0,0,0
Felucca,1,30,0,0,0,0
Felucca,1,31,0,0,0,0
Felucca,1,32,0,0,0,0
Felucca,2,0,0,0,0,0
Felucca,2,1,0,0,0,0
Felucca,2,2,0,0,0,0
Felucca,2,3,0,0,0,0
