MapName,X,Y,Z,Width,Height,ZoneID
Felucca,119,1469,1,9,25,0
Felucca,247,1005,-1,9,9,2108002
Felucca,239,1015,-2,9,9,2108002
Felucca,221,1332,0,11,9,2108003
Felucca,193,1338,0,11,9,2108003
Felucca,213,1341,0,11,12,2108003
Felucca,233,1347,0,11,9,2108003
Felucca,205,1356,0,11,48,2108003
Felucca,137,1362,0,11,9,2108003
Felucca,193,1368,0,12,11,2108003
Felucca,217,1368,0,11,36,2108003
Felucca,134,1377,0,10,9,2108003
Felucca,149,1386,0,11,9,2108003
Felucca,245,1392,0,11,9,2108003
Felucca,213,1413,0,11,9,0
Felucca,221,1431,0,11,9,0
Felucca,181,1437,0,11,9,0
Felucca,153,1454,-1,11,28,0
Felucca,140,1456,1,10,35,0
Felucca,131,1459,-4,9,29,0
Felucca,165,1467,0,9,12,0
Felucca,177,1470,0,11,9,0
Felucca,197,1470,0,11,9,0
Felucca,209,1473,0,11,9,0
Felucca,165,1479,0,11,12,0
Felucca,155,1482,0,10,12,0
Felucca,193,1485,0,11,9,0
Felucca,134,1491,0,14,9,0
Felucca,169,1500,0,11,12,0
Felucca,369,1281,0,11,9,2108003
Felucca,357,1296,0,11,9,2108003
Felucca,373,1302,0,11,21,2108003
Felucca,345,1311,0,11,9,2108003
Felucca,353,1323,0,11,9,2108003
Felucca,369,1323,0,15,12,2108003
Felucca,315,1335,0,9,9,2108003
Felucca,265,1350,0,11,9,2108003
Felucca,369,1350,0,9,9,2108003
Felucca,277,1362,0,11,9,2108003
Felucca,269,1479,0,11,9,0
Felucca,349,1542,0,11,9,0
Felucca,333,1560,0,10,9,0
Felucca,354,1563,0,10,12,0
Felucca,389,1284,0,11,9,0
Felucca,397,1302,0,11,9,0
Felucca,413,1302,0,11,12,0
Felucca,385,1308,0,11,27,0
Felucca,417,1323,0,11,12,0
Felucca,385,1335,0,11,9,0
Felucca,417,1341,0,11,9,0
Felucca,398,1350,0,10,9,0
Felucca,453,1356,0,10,9,0
Felucca,469,1365,0,11,9,0
Felucca,489,1365,0,11,9,0
Felucca,417,1368,0,10,9,0
Felucca,435,1374,0,9,9,0
Felucca,501,1425,0,9,9,0
Felucca,497,1440,0,11,9,0
Felucca,461,1584,0,11,9,0
Felucca,410,1587,0,10,9,0
Felucca,393,1596,0,11,12,0
Felucca,449,1596,0,11,9,0
Felucca,453,1608,0,11,9,0
Felucca,445,1623,0,11,9,0
Felucca,501,1623,0,11,12,0
Felucca,445,1632,0,11,9,0
Felucca,461,1632,0,11,9,0
Felucca,499,1641,0,9,9,0
Felucca,393,1644,0,11,9,0
Felucca,441,1653,0,11,9,0
Felucca,477,1674,0,11,12,0
Felucca,489,1677,0,11,9,0
Felucca,465,1680,0,11,9,0
Felucca,402,1683,0,10,9,0
Felucca,489,1686,0,10,9,0
Felucca,454,2085,-1,9,9,0
Felucca,561,1281,0,11,9,2108003
Felucca,581,1281,0,11,9,2108003
Felucca,573,1290,0,11,9,2108003
Felucca,613,1296,0,11,18,2108003
Felucca,542,1326,0,9,9,2108003
Felucca,601,1326,0,11,9,2108003
Felucca,557,1335,0,15,9,2108003
Felucca,597,1341,0,11,9,2108003
Felucca,621,1341,0,11,9,2108003
Felucca,565,1344,0,11,9,2108003
Felucca,589,1371,0,11,9,2108003
Felucca,575,1377,0,9,9,2108003
Felucca,613,1392,0,9,9,2108003
Felucca,521,1413,0,11,9,0
Felucca,573,1416,0,11,9,0
Felucca,529,1428,0,11,9,0
Felucca,525,1437,0,11,9,0
Felucca,587,1449,0,9,9,0
Felucca,605,1449,0,11,9,0
Felucca,601,1458,0,9,12,0
Felucca,613,1458,0,11,15,0
Felucca,573,1468,0,11,11,0
Felucca,549,1473,0,11,9,0
Felucca,593,1476,0,11,9,0
Felucca,613,1476,0,9,21,0
Felucca,625,1503,0,11,9,0
Felucca,513,1569,0,11,12,0
Felucca,541,1614,0,14,9,0
Felucca,517,1632,0,15,9,0
Felucca,518,1641,0,9,12,0
Felucca,545,1641,0,11,9,0
Felucca,597,1680,0,11,9,0
Felucca,617,1680,0,11,9,0
Felucca,565,1683,0,10,9,0
Felucca,574,1692,0,10,9,0
Felucca,601,1698,0,11,12,0
Felucca,601,1731,0,10,9,0
Felucca,593,1749,0,11,9,0
Felucca,753,555,1,11,30,2108003
Felucca,743,563,-2,9,19,2108003
Felucca,734,580,1,9,20,2108003
Felucca,743,582,0,9,17,2108003
Felucca,757,585,0,11,9,2108003
Felucca,725,589,1,9,23,2108003
Felucca,752,597,0,12,9,2108003
Felucca,716,606,1,9,30,2108003
Felucca,753,606,0,15,9,2108003
Felucca,737,609,0,13,24,2108003
Felucca,725,612,0,11,9,2108003
Felucca,757,615,0,11,9,2108003
Felucca,683,630,0,11,10,2108003
Felucca,685,640,0,21,9,2108002
Felucca,707,642,0,9,30,2108002
Felucca,745,642,0,11,24,2108002
Felucca,717,645,0,14,15,2108002
Felucca,733,645,0,11,9,2108002
Felucca,695,649,0,12,9,2108002
Felucca,733,654,0,12,15,2108002
Felucca,756,657,0,12,15,2108002
Felucca,697,658,0,10,11,2108002
Felucca,717,660,0,10,9,2108002
Felucca,691,669,0,9,18,2108002
Felucca,717,669,0,11,9,2108002
Felucca,733,669,0,11,10,2108002
Felucca,701,672,0,10,9,2108002
Felucca,753,675,0,10,9,2108002
Felucca,711,678,0,9,9,2108002
Felucca,729,679,0,11,12,2108002
Felucca,681,682,-2,10,13,2108002
Felucca,701,684,0,10,24,2108002
Felucca,718,687,0,9,18,2108002
Felucca,742,687,0,10,12,2108002
Felucca,753,687,0,11,12,2108002
Felucca,691,690,0,9,12,2108002
Felucca,753,699,0,15,9,2108002
Felucca,683,704,-1,9,19,2108002
Felucca,717,705,0,11,33,2108002
Felucca,729,705,0,11,19,2108002
Felucca,670,708,1,13,16,2108002
Felucca,693,708,0,15,15,2108002
Felucca,741,708,0,10,21,2108002
Felucca,708,712,0,9,14,2108002
Felucca,661,720,0,9,12,2108002
Felucca,640,722,0,9,10,2108002
Felucca,650,722,0,10,11,2108002
Felucca,697,723,0,11,30,2108002
Felucca,753,723,0,11,15,2108002
Felucca,677,724,0,11,10,2108002
Felucca,688,730,0,9,11,2108002
Felucca,649,733,0,11,13,2108002
Felucca,665,735,0,11,15,2108002
Felucca,679,735,0,9,24,2108002
Felucca,728,735,0,12,9,2108002
Felucca,741,735,0,12,9,2108002
Felucca,709,741,0,11,9,2108002
Felucca,721,744,0,11,24,2108002
Felucca,741,744,0,15,9,2108002
Felucca,709,750,0,11,18,2108002
Felucca,689,753,0,10,15,2108002
Felucca,733,753,0,11,15,2108002
Felucca,745,753,0,16,9,2108002
Felucca,661,756,0,11,12,2108002
Felucca,665,768,0,11,9,2108002
Felucca,694,768,0,10,9,2108002
Felucca,729,768,0,15,12,2108002
Felucca,677,771,0,11,12,2108002
Felucca,705,771,0,15,21,2108002
Felucca,753,774,0,11,9,2108002
Felucca,665,777,0,11,29,2108002
Felucca,688,777,0,11,18,2108002
Felucca,721,780,0,11,12,2108002
Felucca,733,780,0,11,15,2108002
Felucca,677,783,0,11,9,2108002
Felucca,757,783,0,11,21,2108002
Felucca,677,792,0,9,16,2108002
Felucca,699,792,0,13,12,2108002
Felucca,721,792,0,11,33,2108002
Felucca,687,795,0,11,12,2108002
Felucca,747,795,0,9,18,2108002
Felucca,698,804,0,10,14,2108002
Felucca,757,804,0,11,12,2108002
Felucca,674,808,0,10,9,2108002
Felucca,685,813,0,11,9,2108002
Felucca,741,813,0,15,12,2108002
Felucca,757,816,0,11,9,2108002
Felucca,674,817,0,11,17,2108002
Felucca,709,821,0,11,18,2108002
Felucca,685,822,0,11,9,2108002
Felucca,721,825,0,11,12,2108002
Felucca,733,825,0,11,12,2108002
Felucca,745,825,0,11,10,2108002
Felucca,757,825,0,11,18,2108002
Felucca,685,831,0,17,9,2108002
Felucca,657,834,0,9,9,2108002
Felucca,673,834,0,12,15,2108002
Felucca,730,837,0,10,15,2108002
Felucca,741,837,0,10,9,2108002
Felucca,709,839,0,15,13,2108002
Felucca,757,843,0,11,9,2108002
Felucca,661,845,0,9,9,2108002
Felucca,677,849,0,11,18,2108002
Felucca,689,852,0,11,9,2108002
Felucca,713,852,0,19,18,2108002
Felucca,733,852,0,11,18,2108002
Felucca,749,852,0,11,12,2108002
Felucca,701,855,0,11,9,2108002
Felucca,657,858,0,11,9,2108002
Felucca,693,864,0,11,9,2108002
Felucca,753,864,0,11,10,2108002
Felucca,704,865,0,9,11,2108002
Felucca,657,867,0,9,9,2108002
Felucca,674,867,0,10,15,2108002
Felucca,693,873,0,11,23,2108002
Felucca,657,876,0,10,18,2108002
Felucca,708,876,0,10,9,2108002
Felucca,667,882,0,9,10,2108002
Felucca,677,882,0,11,14,2108002
Felucca,756,882,0,12,9,2108002
Felucca,709,885,0,9,9,2108002
Felucca,661,896,0,23,22,2108002
Felucca,689,896,0,15,26,2108002
Felucca,713,896,0,20,10,2108002
Felucca,745,896,0,11,16,2108002
Felucca,757,900,0,11,12,2108002
Felucca,713,909,0,11,9,2108002
Felucca,725,909,0,11,9,2108002
Felucca,753,912,0,11,17,2108002
Felucca,709,918,0,11,21,2108002
Felucca,721,918,0,11,18,2108002
Felucca,733,918,0,10,9,2108002
Felucca,699,928,0,10,14,2108002
Felucca,738,928,0,9,14,2108002
Felucca,753,930,0,11,9,2108002
Felucca,709,939,0,19,12,2108002
Felucca,753,939,0,11,9,2108002
Felucca,729,941,0,9,16,2108002
Felucca,699,945,0,10,15,2108002
Felucca,747,948,0,9,18,2108002
Felucca,756,949,0,9,14,2108002
Felucca,709,951,0,11,18,2108002
Felucca,720,955,0,9,12,2108002
Felucca,699,960,0,9,15,2108002
Felucca,749,966,0,15,9,2108002
Felucca,731,972,0,9,9,2108002
Felucca,747,975,0,17,12,2108002
Felucca,721,984,0,15,12,2108002
Felucca,749,987,0,15,12,2108002
Felucca,737,990,0,11,9,2108002
Felucca,699,991,0,9,33,2108002
Felucca,725,996,0,12,18,2108002
Felucca,741,1002,0,11,15,2108002
Felucca,725,1014,0,11,10,2108002
Felucca,753,1014,0,15,10,2108002
Felucca,699,1024,0,13,14,2108002
Felucca,723,1026,0,9,27,2108002
Felucca,709,1038,0,11,12,2108002
Felucca,741,1050,0,11,9,2108002
Felucca,701,1059,0,11,21,2108002
Felucca,713,1068,0,11,21,2108002
Felucca,721,1089,0,11,14,2108002
Felucca,757,1089,0,11,9,2108002
Felucca,745,1101,0,11,18,2108002
Felucca,702,1119,0,9,9,2108002
Felucca,705,1140,0,23,12,2108002
Felucca,713,1152,0,27,9,2108002
Felucca,721,1161,0,27,18,2108002
Felucca,709,1176,0,11,9,2108002
Felucca,757,1176,0,11,9,2108002
Felucca,741,1179,0,11,9,2108002
Felucca,725,1182,0,11,9,2108002
Felucca,737,1188,0,11,9,2108002
Felucca,721,1191,0,11,9,2108002
Felucca,755,1212,0,9,9,2108002
Felucca,701,1218,0,11,9,2108002
Felucca,718,1221,0,10,9,2108002
Felucca,677,1248,0,11,9,2108002
Felucca,693,1248,0,11,9,2108002
Felucca,741,1251,0,15,9,2108002
Felucca,701,1263,0,11,9,2108002
Felucca,645,1269,0,11,9,2108002
Felucca,649,1281,0,11,9,2108003
Felucca,745,1281,0,11,9,2108003
Felucca,727,1287,0,9,21,2108003
Felucca,689,1290,0,11,15,2108003
Felucca,641,1305,0,11,9,2108003
Felucca,653,1308,0,15,22,2108003
Felucca,640,1314,0,9,10,2108003
Felucca,697,1323,0,11,11,2108003
Felucca,640,1325,0,11,40,2108003
Felucca,669,1326,0,11,38,2108003
Felucca,652,1330,0,17,20,2108003
Felucca,733,1341,0,11,9,2108003
Felucca,757,1341,0,11,9,2108003
Felucca,697,1347,0,10,9,2108003
Felucca,685,1350,0,11,9,2108003
Felucca,749,1350,0,11,9,2108003
Felucca,651,1351,0,12,23,2108003
Felucca,663,1364,0,13,10,2108003
Felucca,706,1368,0,10,11,2108003
Felucca,717,1368,0,11,12,2108003
Felucca,641,1377,0,11,9,2108003
Felucca,729,1377,0,15,9,2108003
Felucca,741,1389,0,10,15,2108003
Felucca,673,1392,0,9,9,2108003
Felucca,713,1392,0,11,9,2108003
Felucca,739,1416,0,9,9,0
Felucca,673,1419,0,11,9,0
Felucca,641,1428,0,11,9,0
Felucca,729,1431,0,11,9,0
Felucca,677,1443,0,11,9,0
Felucca,721,1449,0,15,9,0
Felucca,701,1455,0,9,9,0
Felucca,693,1476,0,11,12,0
Felucca,653,1494,0,11,9,0
Felucca,701,1500,0,11,9,0
Felucca,654,1503,0,10,12,0
Felucca,757,1503,0,11,9,0
Felucca,685,1509,0,11,9,0
Felucca,729,1509,0,9,11,0
Felucca,701,1527,0,11,9,0
Felucca,717,1527,0,11,9,0
Felucca,693,1542,0,11,9,0
Felucca,721,1545,0,11,9,0
Felucca,647,1701,0,9,9,0
Felucca,737,1701,0,11,9,0
Felucca,645,1716,0,11,9,0
Felucca,729,1719,0,11,9,0
Felucca,719,1792,2,13,17,0
Felucca,733,1797,0,11,21,0
Felucca,745,1797,0,11,18,0
Felucca,759,1800,0,9,27,0
Felucca,713,1809,0,11,9,0
Felucca,690,1812,0,9,9,0
Felucca,665,1815,0,11,9,0
Felucca,647,1816,4,9,26,0
Felucca,677,1818,0,11,9,0
Felucca,741,1830,0,11,9,0
Felucca,757,1830,0,11,11,0
Felucca,714,1842,0,10,18,0
Felucca,757,1842,0,11,17,0
Felucca,754,1859,0,10,29,0
Felucca,745,1869,0,9,33,0
Felucca,707,1874,2,9,17,0
Felucca,733,1875,0,10,27,0
Felucca,717,1881,0,11,30,0
Felucca,754,1888,0,14,11,0
Felucca,706,1891,-1,11,17,0
Felucca,733,1902,0,11,9,0
Felucca,757,1905,0,11,12,0
Felucca,714,1920,-1,10,18,2105003
Felucca,741,1935,0,11,9,2105003
Felucca,715,1938,0,9,9,2105003
Felucca,724,1941,0,12,9,2105003
Felucca,723,1950,0,9,9,2105003
Felucca,757,1956,0,11,27,2105003
Felucca,725,1967,0,11,10,2105003
Felucca,723,1977,-1,9,11,2105003
Felucca,757,1985,0,11,16,2105003
Felucca,723,1989,0,13,10,2105003
Felucca,733,2124,1,11,11,2105002
Felucca,754,2238,0,10,11,2105002
Felucca,757,2349,0,11,9,2105002
Felucca,838,325,0,9,26,0
Felucca,829,343,2,9,17,0
Felucca,845,351,0,9,9,0
Felucca,820,354,-2,9,28,0
Felucca,837,366,0,11,9,0
Felucca,825,384,0,11,10,0
Felucca,836,385,0,9,53,0
Felucca,845,402,0,9,42,0
Felucca,827,423,0,9,12,0
Felucca,817,426,2,9,18,0
Felucca,854,426,0,9,24,0
Felucca,808,431,-2,9,10,0
Felucca,863,434,0,9,25,0
Felucca,798,436,-3,10,35,0
Felucca,788,440,-2,10,22,0
Felucca,808,441,0,9,15,0
Felucca,779,448,-2,9,24,0
Felucca,813,456,0,15,9,0
